Building,Room,Printer name,Campus,lat,lng
Wendell W. Wright Education Building,1077,BL_UPRN_ED1077_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,1160,BL_STC_ED1160_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,2011,BL_STC_ED2011_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,2100,BL_UPRN_ED2100_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,2101,BL_UPRN_ED2101_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,2252,BL_UPRN_ED2252_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,3008,BL_UPRN_ED3008_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,3048,BL_UPRN_ED3048_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,3099M,BL_UPRN_ED3099M_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,3136,BL_UPRN_ED3136_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,4015,BL_UPRN_ED4015_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,4025,BL_UPRN_ED4025_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,4114,BL_UPRN_ED4114_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,4152,BL_UPRN_ED4152_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,4215,BL_UPRN_ED4215_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,4235,BL_UPRN_ED4235_MFP1,Bloomington,39.1671809,-86.5124702
Willkie C,100,BL_STC_WI100_MFP1,Bloomington,39.1661675,-86.5106177
Willkie North,199,BL_STC_WN199_MFP1,Bloomington,39.16697260000001,-86.51061829999999
Willkie North,199,BL_STC_WNB199_MFP1,Bloomington,39.16697260000001,-86.51061829999999
Woodburn Hall,211,BL_STC_WH211_MFP1,Bloomington,39.1681192,-86.51985789999999
Woodburn Hall,210K,BL_UPRN_WH210K_MFP1,Bloomington,39.1681192,-86.51985789999999
Woodburn Hall,300,BL_UPRN_WH300_MFP1,Bloomington,39.1681192,-86.51985789999999
Woodburn Hall,399G,BL_UPRN_WH399G_MFP1,Bloomington,39.1681192,-86.51985789999999
Woodburn Hall,400,BL_UPRN_WH400_MFP1,Bloomington,39.1681192,-86.51985789999999
Wright Quad,2,BL_STC_WT002_MFP1,Bloomington,39.1704059,-86.51429759999999
Wright Quad,3,BL_STC_WT003_MFP1,Bloomington,39.1704059,-86.51429759999999
Wright Quad,A105,BL_UPRN_WTA105_MFP1,Bloomington,39.1704059,-86.51429759999999
Wright Quad,AFB50,BL_UPRN_WTAFB50_MFP1,Bloomington,39.1704059,-86.51429759999999
Wright Quad,C199L,BL_UPRN_WTC199L_MFP1,Bloomington,39.1704059,-86.51429759999999
Wright Quad,C200,BL_UPRN_WTC200_MFP1,Bloomington,39.1704059,-86.51429759999999
Wylie Hall,125,BL_STC_WY125_MFP1,Bloomington,39.166488,-86.523562
